GTEx_bladder	GTEx_prostate	GTEx_thyroid	TCGA_bladder	TCGA_prostate	TCGA_thyroid
A1BG	0.502	2.4136	0.502	13.9983	68.092	32.9714
A1CF	0.0103	0	0.0103	0	0	0.8311
A2M	782.3836	75.6757	782.3836	54673.5958	5631.076	6155.7043
A2ML1	0.1403	0.3077	0.1403	0	78.4	3.8783
A4GALT	23.3534	26.4615	23.3534	1314.9606	678	219.1263
A4GNT	0.0506	0	0.0506	0	0.4	0
AAAS	20.8495	29.6172	20.8495	419.0726	467.2	696.4394
AACS	1.5205	2.3607	1.5205	343.832	694.8	649.8993
AADAC	0.1616	0.0299	0.1616	9.6238	0.8	1.3851
AADACL2	0.1546	0	0.1546	4.3745	0.8	0
AADACL3	0.0111	0	0.0111	0	0	0
AADACL4	0.0284	0.7575	0.0284	0	1.6	0
AADAT	3.0275	10.0258	3.0275	134.7332	404.4	191.4239
AAGAB	11.0169	10.1627	11.0169	735.783	1354.8	1259.076
AAK1	0.5569	0.8839	0.5569	915.1356	874.4	3217.9157
AAMP	64.1718	58.5325	64.1718	2303.5871	2688.4	2734.7851
AANAT	0.0205	0.0908	0.0205	0	0.8	1.1081
AARS	43.0974	37.6923	43.0974	3432.196	2334.8	4263.1289
AARS2	5.2749	6.8797	5.2749	342.9309	299.996	440.4605
AARSD1	5.8574	5.245	5.8574	1007.874	559.2	606.6835
AASDH	4.1493	3.4198	4.1493	272.9659	396.8	357.0845
AASDHPPT	9.8391	7.1976	9.8391	481.1899	1038.8	974.0179
AASS	17.839	8.3357	17.839	326.3342	438.4	524.9613
AATF	29.283	8.9737	29.283	1244.9694	504.8	1005.0446
AATK	2.2657	3.6033	2.2657	131.2336	66.8	116.3503
ABAT	1.35	2.0776	1.35	148.7314	2531.2	3189.1052
ABCA1	18.6932	3.2259	18.6932	2919.5013	348	742.6692
ABCA10	1.2727	1.3323	1.2727	26.2467	16.8	49.8644
ABCA11P	2.2402	3.2519	2.2402	61.776	100.436	192.5043
ABCA12	0.0024	0.0422	0.0024	0	6.8	0.277
ABCA13	0.0151	0.0028	0.0151	0	7.2	85.0465
ABCA17P	0.1465	0.1097	0.1465	6.1242	2.8	24.3781
ABCA2	4.2065	15.0664	4.2065	832.021	892.8	4359.2564
ABCA3	3.2826	6.1229	3.2826	658.7927	833.6	2887.4256
ABCA4	0.0646	0.1806	0.0646	17.4978	4	14.6823
ABCA5	2.9782	7.5119	2.9782	96.238	616.8	549.8935
ABCA6	7.3732	1.2975	7.3732	348.2065	56.4	82.5533
ABCA7	0.9592	8.9134	0.9592	55.993	193.6	336.8617
ABCA8	7.1776	7.6835	7.1776	835.5206	673.2	433.5432
ABCA9	10.7362	1.5554	10.7362	710.4112	33.6	152.3634
ABCB1	0.522	3.3243	0.522	60.3675	184.4	93.3572
ABCB10	4.8057	3.2297	4.8057	560.8049	671.6	409.1651
ABCB11	0.1276	0	0.1276	0.8749	0	0
ABCB4	0.0841	0.4668	0.0841	38.4952	12.4	8.3107
ABCB5	0.0532	0.0269	0.0532	41.9948	4.8	0.277
ABCB6	29.4425	29.544	29.4425	549.825	648.6	702.1766
ABCB7	9.3222	8.3757	9.3222	435.6955	455.2	377.3073
ABCB8	4.9551	9.3033	4.9551	448.8189	662.8	916.9508
ABCB9	0.3099	1.1009	0.3099	30.035	72.348	104.6931
ABCC1	11.8832	23.2032	11.8832	1809.2738	898	2124.2233
ABCC10	5.0989	8.4557	5.0989	295.713	352.8	440.1918
ABCC11	0.017	0.2216	0.017	0	48.4	1.9392
ABCC12	0.0146	0.0081	0.0146	0	0	0
ABCC13	0	0	0	0	8.8	0
ABCC2	1.5385	0.4308	1.5385	9.6238	4.8	10.5269
ABCC3	3.702	8.8885	3.702	29.7463	201.2	456.5363
ABCC4	12.0196	13.5092	12.0196	702.5372	6462.4	416.0907
ABCC5	6.9943	11.2811	6.9943	363.0796	611.2	202.5049
ABCC6	0.095	0.8806	0.095	3.4996	138	143.2216
ABCC6P1	0	0.384	0	0	17.2	3.3243
ABCC6P2	0.0412	0.1371	0.0412	1.7498	38	35.7362
ABCC8	0.1058	4.487	0.1058	6.9991	56	496.7048
ABCC9	7.4496	1.6432	7.4496	1181.1024	334	246.5517
ABCD1	6.0596	7.622	6.0596	800.5249	256	220.7885
ABCD2	0.6608	0.0199	0.6608	122.4847	33.2	9.1418
ABCD3	4.8344	4.5701	4.8344	910.7612	1536.4	1400.0814
ABCD4	9.2123	16.7181	9.2123	354.3307	616.4	703.088
ABCE1	16.047	4.3463	16.047	1249.3438	1370	1154.6378
ABCF1	24.5354	19.3148	24.5354	2177.6028	1083.2	1326.1159
ABCF2	22.2155	8.6786	22.2155	1379.7025	790.4	905.3158
ABCF3	17.3347	24.1738	17.3347	600.175	1000.8	1094.5235
ABCG1	4.186	4.9097	4.186	550.3062	387.6	231.3154
ABCG2	0.7393	3.2404	0.7393	27.9965	334.8	112.1949
ABCG4	0.1641	0.0455	0.1641	0.8749	2	9.6959
ABCG5	0.006	0.0535	0.006	1.7498	1.2	1.1081
ABCG8	0.0168	0.0093	0.0168	0	0	0
ABHD1	0.0775	2.0857	0.0775	0.8749	65.6	16.3444
ABHD10	5.7622	11.6129	5.7622	353.4558	1479.6	1125.5502
ABHD11	6.1605	45.8483	6.1605	124.2345	984.4	1006.9838
ABHD12	10.1851	20.0869	10.1851	605.4243	1385.2	3403.5221
ABHD12B	0.0655	0	0.0655	1.7498	3.2	2.4932
ABHD13	3.479	2.3143	3.479	405.9493	901.2	747.6889
ABHD14A	6.4005	18.3618	6.4005	231.846	568.608	954.4129
ABHD14B	24.9898	41.5347	24.9898	1286.9641	1688	2561.0908
ABHD15	3.7572	4.6778	3.7572	156.6054	221.2	385.064
ABHD2	8.0346	24.8421	8.0346	2572.1785	7298.4	2742.2648
