ENSG_ID	GTEx_bladder	GTEx_prostate	GTEx_thyroid
1	ENSG00000223972	0	0.0319	0
2	ENSG00000227232	10.3353	14.3759	7.7515
3	ENSG00000243485	0.018	0.0529	0
4	ENSG00000237613	0	0	0
5	ENSG00000268020	0	0	0
6	ENSG00000240361	0	0	0
7	ENSG00000186092	0	0	0
8	ENSG00000238009	0.0746	0.2043	0.1569
9	ENSG00000233750	0.0097	0.0094	0.0218
10	ENSG00000237683	1.307	7.0724	5.9051
11	ENSG00000268903	0.6337	2.9578	1.9054
12	ENSG00000269981	0.9719	7.6095	6.3316
13	ENSG00000239906	0.4558	0.7248	1.5417
14	ENSG00000241860	0.0238	0.3314	0.1608
15	ENSG00000222623	0	0	0
16	ENSG00000241599	0	0	0
17	ENSG00000228463	0.5911	0.583	0.3009
18	ENSG00000241670	1.2927	0.6326	0.3429
19	ENSG00000237094	0.3928	1.3597	1.32
20	ENSG00000250575	0	0	0
21	ENSG00000233653	0	0	0
22	ENSG00000224813	0	0	0.1537
23	ENSG00000235249	0	0	0
24	ENSG00000269732	0	0	0
25	ENSG00000256186	0	0	0
26	ENSG00000236743	0.0272	0	0.0409
27	ENSG00000236601	0	0	0
28	ENSG00000236679	0	0	0
29	ENSG00000231709	0.0219	0	0.0329
30	ENSG00000235146	0	0	0
31	ENSG00000239664	0	0	0
32	ENSG00000230021	0.0411	0.1908	0.1697
33	ENSG00000223659	0	0	0
34	ENSG00000225972	18.2534	6.7776	10.8575
35	ENSG00000225630	213.5421	476.1895	224.018
36	ENSG00000237973	326.5338	257.5666	249.6967
37	ENSG00000229344	84.508	121.3635	60.1964
38	ENSG00000268663	0	0	0
39	ENSG00000185097	0	0	0
40	ENSG00000229376	0.0525	0.1981	0.2254
41	ENSG00000224956	2.0843	6.8336	4.1855
42	ENSG00000235373	0.0492	0.1816	0.222
43	ENSG00000223181	0	0	0
44	ENSG00000240618	0.4	0.5873	0.3007
45	ENSG00000229905	0	0	0
46	ENSG00000228327	1.7885	4.901	5.0489
47	ENSG00000237491	0.244	0.7295	0.5478
48	ENSG00000230092	0.301	1.1782	1.4866
49	ENSG00000269831	0	0	0.2145
50	ENSG00000177757	0.1893	0.6299	0.7258
51	ENSG00000240453	0.1624	0.4767	0.5696
52	ENSG00000225880	0.8104	5.6202	7.0579
53	ENSG00000228794	7.4573	6.5215	3.3102
54	ENSG00000230368	0	0.0914	0.0281
55	ENSG00000234711	0.0522	0	0
56	ENSG00000269308	0	0	0
57	ENSG00000272438	0.3146	1.3853	0.867
58	ENSG00000230699	0	0	0
59	ENSG00000223764	4.8224	13.8083	11.0339
60	ENSG00000187634	6.5226	5.35	10.1695
61	ENSG00000268179	0	0	0
62	ENSG00000188976	29.1578	29.677	30.5065
63	ENSG00000187961	6.7969	8.0109	8.1304
64	ENSG00000187583	0.5104	2.1104	26.4109
65	ENSG00000187642	0.1385	0.1536	0.5136
66	ENSG00000272512	0.9263	1.6749	21.5506
67	ENSG00000188290	6.3345	10.4245	34.3411
68	ENSG00000231702	0.1195	0.2339	0.3593
69	ENSG00000224969	0	0.0382	0.2349
70	ENSG00000187608	18.4018	7.2188	33.9677
71	ENSG00000188157	6.5639	13.3209	45.5337
72	ENSG00000242590	4.8522	12.1853	31.7934
73	ENSG00000217801	0.1599	0.5008	2.1058
74	ENSG00000237330	0.0967	0.2651	10.2396
75	ENSG00000131591	2.1441	4.9401	6.6378
76	ENSG00000223823	0.0114	0.0334	0.5635
77	ENSG00000207730	0	1.327	1.456
78	ENSG00000207607	0	0.2001	0.3074
79	ENSG00000198976	0.2217	1.5188	1.6665
80	ENSG00000272141	1.0254	29.9422	14.0424
81	ENSG00000205231	0.0052	0.1122	0.0783
82	ENSG00000162571	0.0049	0.2281	0.5401
83	ENSG00000186891	0.1075	1.4986	2.827
84	ENSG00000186827	0.5495	1.7364	3.045
85	ENSG00000078808	48.5612	77.5508	70.7768
86	ENSG00000176022	5.7913	7.4925	6.2401
87	ENSG00000184163	0.4085	1.0082	0.5341
88	ENSG00000260179	0.2598	0.1965	0.3019
89	ENSG00000160087	9.9532	11.0839	9.4591
90	ENSG00000230415	1.399	4.2127	2.211
91	ENSG00000162572	2.8483	8.2864	3.739
92	ENSG00000131584	35.1153	28.7734	31.879
93	ENSG00000169972	7.9094	8.8912	9.4803
94	ENSG00000127054	41.0177	36.5875	28.282
95	ENSG00000240731	22.1203	15.0232	13.6889
96	ENSG00000224051	8.6681	12.14	13.4859
97	ENSG00000169962	0.0902	0.2428	0.5424
98	ENSG00000107404	49.7005	27.2074	22.3363
99	ENSG00000162576	25.412	31.1713	67.5753
100	ENSG00000175756	40.0893	33.8062	31.9574
101	ENSG00000223663	0.1504	0.1963	0.2261
102	ENSG00000221978	74.137	129.4487	108.6232
103	ENSG00000224870	4.0528	3.2159	3.2934
104	ENSG00000242485	29.2455	28.41	25.8325
105	ENSG00000264293	1.2604	4.564	2.937
106	ENSG00000272455	1.0874	2.7552	0.999
107	ENSG00000235098	9.883	10.3532	22.3701
108	ENSG00000225905	1.3556	1.5256	1.2227
109	ENSG00000205116	0.0748	0.183	0.3374
110	ENSG00000225285	6.1628	5.3541	2.8282
111	ENSG00000179403	38.8999	47.4353	22.7979
112	ENSG00000215915	3.8387	4.1768	0.6595
113	ENSG00000160072	7.3862	16.1258	6.8922
114	ENSG00000197785	10.6496	10.2471	9.9907
115	ENSG00000205090	7.3411	6.011	3.3477
116	ENSG00000160075	23.7076	31.7315	26.4144
117	ENSG00000215791	4.0639	15.5781	7.3289
118	ENSG00000215014	0.5959	0.2828	0.19
119	ENSG00000236684	0	0	0
120	ENSG00000228594	1.4121	0.6392	2.1229
121	ENSG00000272106	4.4063	8.2446	5.0225
122	ENSG00000197530	18.7203	23.0461	18.6007
123	ENSG00000189409	1.5498	0.7235	2.4236
124	ENSG00000248333	23.4524	15.0291	15.0867
125	ENSG00000272004	6.9467	17.3788	14.0397
126	ENSG00000189339	11.1252	20.1379	19.6332
127	ENSG00000269227	0.6026	2.9486	2.4389
128	ENSG00000215914	0.4748	0.0961	0.3446
129	ENSG00000008128	17.7339	21.9585	17.3133
130	ENSG00000268575	19.7071	24.3408	19.4952
131	ENSG00000227775	3.443	4.9562	4.9625
132	ENSG00000215790	2.5795	4.38	4.3198
133	ENSG00000008130	16.2451	19.0547	19.8325
134	ENSG00000078369	104.2003	65.7482	71.5458
135	ENSG00000231050	0.1828	0.656	0.458
136	ENSG00000169885	0.3475	1.7525	0.9643
137	ENSG00000178821	0.7488	0.2763	0.1661
138	ENSG00000142609	0	0.1894	0.0677
139	ENSG00000233542	0	0	0
140	ENSG00000187730	0.0481	0.2542	0.1302
141	ENSG00000226969	0	0	0
142	ENSG00000067606	0.2744	4.375	3.19
143	ENSG00000271806	0.0307	0.6309	0.3692
144	ENSG00000182873	1.4886	4.9046	4.1561
